シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000477,202406,0,0,1.7734375
シャード,BBBBB000478,202406,1,0.1716,2.364583333
シャード,BBBBB000479,202406,0,0.5147,0
シャード,BBBBB000480,202406,0,0.8579,0
シャード,BBBBB000481,202406,0,0,0.591145833
シャード,BBBBB000482,202406,0,0.3432,0.591145833
シャード,BBBBB000483,202406,1,0.3432,1.182291667
シャード,BBBBB000484,202406,0,0,0.591145833
シャード,BBBBB000485,202406,1,0.3432,0.591145833
シャード,BBBBB000486,202406,0,0.3432,0
シャード,BBBBB000487,202406,0,0,0
シャード,BBBBB000488,202406,0,0.8579,3.546875
シャード,BBBBB000489,202406,0,0.3432,0
シャード,BBBBB000490,202406,0,0.1716,0
シャード,BBBBB000491,202406,1,0,0.591145833
シャード,BBBBB000492,202406,0,0.5147,1.182291667
シャード,BBBBB000493,202406,0,0,0
シャード,BBBBB000494,202406,0,0,0
シャード,BBBBB000495,202406,0,3.4316,1.182291667
シャード,BBBBB000496,202406,1,0.5147,1.182291667
シャード,BBBBB000497,202406,0,0,0
シャード,BBBBB000498,202406,2,0.6863,0
シャード,BBBBB000499,202406,2,0.5147,0
シャード,BBBBB000500,202406,0,0.8579,1.182291667
シャード,BBBBB000501,202406,0,0.6863,0.591145833
シャード,BBBBB000502,202406,0,0.1716,0
シャード,BBBBB000503,202406,1,0.3432,0
シャード,BBBBB000504,202406,0,0.6863,2.364583333
シャード,BBBBB000505,202406,1,0.1716,0
シャード,BBBBB000506,202406,1,1.8874,1.182291667
シャード,BBBBB000507,202406,1,0.6863,4.138020833
シャード,BBBBB000508,202406,0,1.0295,0
シャード,BBBBB000509,202406,1,0.3432,0
シャード,BBBBB000510,202406,0,1.8874,0
シャード,BBBBB000511,202406,1,0.5147,0
シャード,BBBBB000512,202406,0,0.5147,0
シャード,BBBBB000513,202406,0,0.6863,0
シャード,BBBBB000514,202406,0,0.8579,0
シャード,BBBBB000515,202406,0,1.2011,0.591145833
シャード,BBBBB000516,202406,1,5.6621,0.591145833
